SubCat,Headlines
/issues/common-core,"[u'Fox Host On Migrant Children In Public School: ""What\'s Worse, A Drug War In Honduras Or Common Core?""']"
/issues/common-core,"[u'Guns, Junk Food, & John Stossel: How ', <em>Fox &amp; Friends</em>, u' Celebrated Back To School Week']"
/issues/common-core,[u'Glenn Beck & Co. Encourage People To Boycott Common Core Tests At Live Movie Event']
/issues/common-core,[u'Glenn Beck Compares Common Core To Slavery']
/issues/common-core,"[u""On Common Core, All News Is Bad News At Heritage's Daily Signal""]"
/issues/common-core,[u'Conservative Media Grossly Exaggerate What Bobby Jindal Just Did To Common Core']
/issues/common-core,[u'Fox Hosts Glenn Beck To Plug His Anti-Common Core Movie']
/issues/common-core,"[u""The 8 Most Ridiculous Attacks On Public Education In Glenn Beck's New Book""]"
/issues/common-core,[u'How Right-Wing Media Common Core Distortion Plays Out In State Politics']
