title,url,page_views
Attorney For Former Christie Aide Unloads On Governor's Self-Exoneration,http://talkingpointsmemo.com/livewire/bill-stepien-report-response,959
GOPer Drops Out Of Colorado Election Due To White Supremacist Ties,http://talkingpointsmemo.com/livewire/nate-marshall-colorado-ties-white-supremecy,8085
Conservatives Mock Obama For Not Getting Applause At A Press Conference,http://talkingpointsmemo.com/livewire/daily-caller-obama-applause,3151
"Miss. Anchor Says He's Sick Of LGBT News, Tells Activists To Go On 'Gaycation'",http://talkingpointsmemo.com/livewire/mississippi-anchor-gaycation-facebook,6130
Christie: I Can't Recall What Port Authority Exec Told Me During Lane Closures,http://talkingpointsmemo.com/livewire/christie-wildstein-recollection,2971
Matt Bevin Puts Mitch McConnell In A Duke Jersey For New Ad (VIDEO),http://talkingpointsmemo.com/livewire/matt-bevin-mitch-mcconnell-duke-ad,390
People Who Don't Realize 'The Colbert Report' Is Satire Want It Cancelled Over Asian Joke,http://talkingpointsmemo.com/muckraker/bmw-direct-re-surfaces-with-ties-to-anti-obama-ads,16640
Nate Silver Promises To Run A Rebuttal To Heavily Criticized Climate Change Piece,http://talkingpointsmemo.com/livewire/nate-silver-five-thirty-eight-climate-piece-rebuttal-roger-pielke,581
House Intel Chair Mike Rodgers Won't Seek Re-Election,http://talkingpointsmemo.com/livewire/house-intel-chair-mike-rogers-no-reelection,29
Colbert Skewers Bill O'Reilly's Bizarre Defense Of Inequality (VIDEO),http://talkingpointsmemo.com/livewire/colbert-skewers-oreilly-rant-on-inequality,3443
Harry Reid Says Nate Silver Is 'Bad Most Of The Time',http://talkingpointsmemo.com/livewire/harry-reid-nate-silver-bad,865
Now It's Condoleezza Rice's Turn To Rally Americans For Another War,http://talkingpointsmemo.com/livewire/condoleezza-rice-war-weariness,1006
Obama: Putin 'Entirely Misreading' The West (VIDEO),http://talkingpointsmemo.com/livewire/obama-putin-misreading-us-foreign-policy,18
Jon Stewart Talks To Nate Silver About The 'Rash Of Sh*t' He's Taken From Critics (VIDEO),http://talkingpointsmemo.com/livewire/jon-stewart-nate-silver-criticism-five-thirty-eight-rash-of-shit,1158
Top GOP Operative: Equal Pay Debate A Distraction From 'Real Issues',http://talkingpointsmemo.com/livewire/katie-packer-gage-equal-pay,484
Chris Christie Holds News Conference (WATCH LIVE),http://talkingpointsmemo.com/livewire/chris-christie-press-conference-self-exoneration,108
Chris Christie Tells Megyn Kelly He Feels 'Exonerated' By Report,http://talkingpointsmemo.com/livewire/christie-feels-exonerated-by-report,693
Port Authority Chairman Resigns In Response To Christie Scandal Report,http://talkingpointsmemo.com/livewire/david-samson-resigns,1920
Birther Donald Trump Again Peddles Anti-Vaccine Conspiracy Theory,http://talkingpointsmemo.com/livewire/donald-trump-vaccinations-autism,493
Politico Reporter Doesn't Want To Cover 'This Petty Silver-Krugman Shit' But Does It Anyway,http://talkingpointsmemo.com/livewire/nate-silver-paul-krugman-feud-dylan-byers-politico,971
"The RNC Continues To Demand Apologies From News Outlets, News Outlets Oblige",http://talkingpointsmemo.com/livewire/rnc-demands-apologies-news-outlets,4620
Arizona Pol Apologizes For Praising Fred Phelps After Onion Obituary Dupes Him,http://talkingpointsmemo.com/livewire/arizona-pol-apologizes-praising-fred-phelps-the-onion,14969
"Cheney Still Denies Waterboarding Is Torture, Would 'Do It All Over Again'",http://talkingpointsmemo.com/livewire/dick-cheney-waterboarding-id-do-it-again,623
Failed Senate Candidate Wants To End Direct Election Of Senators,http://talkingpointsmemo.com/livewire/sue-lowden-direct-election-of-senators,2023
Pundit Says Obamacare Enrollment Milestone Is Like Bush's 'Mission Accomplished' Speech,http://talkingpointsmemo.com/livewire/ron-fournier-obamacare-enrollment-mission-accomplished,836
"Pennsylvania Man Aims At Rat, Shoots Himself In The Leg Instead",http://talkingpointsmemo.com/livewire/man-rat-accidental-shooting,288
John Boehner Posted A Video Of Him Mowing The Lawn For Some Reason,http://talkingpointsmemo.com/livewire/john-boehner-mows-lawn,371
GOP GA Senate Candidate: Boehner Fast-Tracking Bill Was 'Putin-esque',http://talkingpointsmemo.com/livewire/paul-broun-john-boehner-putin-esque,561
Nate Silver's Climate Author Accused Of Threatening Critics,http://talkingpointsmemo.com/livewire/nate-silver-roger-pielke-threats,6155
